,YEAR,STATEFIPS,Est Num Eligible,Est Proportion Eligible
0,2006,1,2083840.0,0.453104241546587
1,2006,2,274527.0,0.4097093811982037
2,2006,4,2752946.0,0.446448918138831
3,2006,5,1264635.0,0.4499084269934739
4,2006,6,16726008.0,0.45878037495060353
5,2006,8,2002152.0,0.4212062287506335
6,2006,9,1369671.0,0.39079761550486775
7,2006,10,349850.0,0.4099119365981
8,2006,11,246070.0,0.423142400220109
9,2006,12,7154752.0,0.395511105678979
10,2006,13,4293616.0,0.45852659686770775
11,2006,15,513410.0,0.3993860745018662
12,2006,16,659652.0,0.4498245781522232
13,2006,17,5565927.0,0.4337546767955349
14,2006,18,2664729.0,0.42206708777353996
15,2006,19,1219653.0,0.4089933720869794
16,2006,20,1167943.0,0.422543889004459
17,2006,21,1812287.0,0.43087377920597686
18,2006,22,2015000.0,0.4699414707139006
19,2006,23,483302.0,0.3657018070876092
20,2006,24,2182980.0,0.388726161367887
21,2006,25,2584377.0,0.4014757674657261
22,2006,26,4394832.0,0.43531967206051164
23,2006,27,2057042.0,0.39810369489584196
24,2006,28,1465793.0,0.5036154802888811
25,2006,29,2510684.0,0.42971201905690043
26,2006,30,393359.0,0.41641506957206614
27,2006,31,752911.0,0.4257749256219565
28,2006,32,1030918.0,0.41310599876819704
29,2006,33,472446.0,0.3593032143250982
30,2006,34,3463212.0,0.3969497602171342
31,2006,35,921704.0,0.4715565699153637
32,2006,36,8412354.0,0.43573367143572606
33,2006,37,3830283.0,0.43248245216369213
34,2006,38,254118.0,0.39964017632618143
35,2006,39,4875646.0,0.42478162147676174
36,2006,40,1635795.0,0.4570265745644572
37,2006,41,1488960.0,0.40233919645650973
38,2006,42,4972981.0,0.39973736037774965
39,2006,44,436279.0,0.408650162512528
40,2006,45,1893884.0,0.4382723606068523
41,2006,46,336545.0,0.43040903213759996
42,2006,47,2654511.0,0.4395756907453348
43,2006,48,11528479.0,0.49041115446743744
44,2006,49,1280743.0,0.5022397485866036
45,2006,50,232013.0,0.3718705321938491
46,2006,51,3015817.0,0.3945914919027948
47,2006,53,2605052.0,0.40730679736914766
48,2006,54,761385.0,0.41869538678119517
49,2006,55,2240600.0,0.4032390138695072
50,2006,56,194100.0,0.37689027658037605
51,2007,1,2072954.0,0.44793015159736127
52,2007,2,275311.0,0.4028088687565657
53,2007,4,2832364.0,0.44683285597881606
54,2007,5,1287354.0,0.4541256393314936
55,2007,6,16560138.0,0.453041900691909
56,2007,8,2036223.0,0.4188453599340946
57,2007,9,1358429.0,0.3878666902320726
58,2007,10,338956.0,0.3919635877534217
59,2007,11,248917.0,0.4231181114140597
60,2007,12,7163203.0,0.392477542488476
61,2007,13,4339575.0,0.45465570077791456
62,2007,15,479575.0,0.37367888744479455
63,2007,16,680118.0,0.45359283234249387
64,2007,17,5580525.0,0.4341960053368406
65,2007,18,2722741.0,0.42909645250200584
66,2007,19,1211051.0,0.40529851103413034
67,2007,20,1199358.0,0.43204585595733713
68,2007,21,1872687.0,0.44151797228982187
69,2007,22,2029234.0,0.47266190938049996
70,2007,23,497991.0,0.3780658620854581
71,2007,24,2231343.0,0.397153146905921
72,2007,25,2499149.0,0.38747967946069267
73,2007,26,4400629.0,0.43692481856808035
74,2007,27,2109051.0,0.40577237162925117
75,2007,28,1415870.0,0.4850888297699214
76,2007,29,2466126.0,0.41952226918310465
77,2007,30,392867.0,0.410150324525166
78,2007,31,747432.0,0.42119024823464374
79,2007,32,1072027.0,0.4178820152320395
80,2007,33,476863.0,0.3624052687737303
81,2007,34,3415638.0,0.3932384825096248
82,2007,35,940082.0,0.47721957546391597
83,2007,36,8232777.0,0.42661895604399874
84,2007,37,3894008.0,0.42975325547906684
85,2007,38,248375.0,0.388258834012021
86,2007,39,4781216.0,0.4169574088658704
87,2007,40,1642117.0,0.45396006320708504
88,2007,41,1534026.0,0.4093514131590639
89,2007,42,4956930.0,0.39869805591535673
90,2007,44,429295.0,0.40582531063533717
91,2007,45,1916020.0,0.43469748116311674
92,2007,46,332464.0,0.41755555974202946
93,2007,47,2630812.0,0.4273074668504442
94,2007,48,11604627.0,0.4854602796642289
95,2007,49,1282010.0,0.4846314070456238
96,2007,50,231510.0,0.37264951211581737
97,2007,51,3039178.0,0.39407963417444114
98,2007,53,2601152.0,0.4021307199404368
99,2007,54,770008.0,0.42494101935117146
100,2007,55,2245132.0,0.400799051706286
101,2007,56,202522.0,0.3873572671805367
102,2008,1,2061489.0,0.4421993178746863
103,2008,2,276991.0,0.4036045828822383
104,2008,4,2937618.0,0.4519287158201773
105,2008,5,1282557.0,0.4491705161116345
106,2008,6,16694748.0,0.4541964714645229
107,2008,8,2050630.0,0.4151530047033519
108,2008,9,1357094.0,0.3876024919086087
109,2008,10,348683.0,0.399365702583462
110,2008,11,256768.0,0.4338521170668077
111,2008,12,7353255.0,0.40119590753990814
112,2008,13,4517452.0,0.4664021679697502
113,2008,15,490751.0,0.38095929352475316
114,2008,16,686154.0,0.4502866487817427
115,2008,17,5528347.0,0.4285020792827908
116,2008,18,2729204.0,0.42799012418783616
117,2008,19,1207806.0,0.4022591411253808
118,2008,20,1184132.0,0.4225822176955135
119,2008,21,1893363.0,0.44348895413591866
120,2008,22,2047383.0,0.4641754005399479
121,2008,23,488904.0,0.3713789142971736
122,2008,24,2193827.0,0.3894185189320429
123,2008,25,2566314.0,0.3949410638742856
124,2008,26,4362285.0,0.43607927367254923
125,2008,27,2101769.0,0.4026074282146957
126,2008,28,1427323.0,0.4857123314428755
127,2008,29,2464934.0,0.4169652742360154
