,STATEFIPS,Monthly TANF Applications,YEAR,Total population,Number in poverty,Percent in poverty,TANF apps / Ind in poverty
448,34,4722.583333333333,2013,8728000,861000,9.9,0.005484998064266357
450,35,3330.3333333333335,2013,2079000,535000,25.8,0.006224922118380063
452,36,19646.333333333332,2013,19340000,3337000,17.3,0.005887423833782839
454,37,3070.0,2013,9672000,1419000,14.7,0.002163495419309373
456,38,432.75,2013,716000,94000,13.2,0.004603723404255319
458,39,11973.166666666666,2013,11280000,1684000,14.9,0.007109956452889944
460,40,1935.0833333333333,2013,3697000,785000,21.2,0.0024650743099787686
462,41,2139.9166666666665,2013,3969000,556000,14,0.003848770983213429
464,42,8321.083333333334,2013,12800000,1432000,11.2,0.005810812383612664
466,44,752.8333333333334,2013,1032000,96000,9.3,0.00784201388888889
468,45,5409.0,2013,4676000,904000,19.3,0.005983407079646018
470,46,461.0833333333333,2013,827000,110000,13.3,0.0041916666666666665
472,47,8093.833333333333,2013,6272000,972000,15.5,0.0083269890260631
474,48,30576.083333333332,2013,26200000,4422000,16.9,0.006914537162671491
476,49,562.1666666666666,2013,2923000,357000,12.2,0.0015746965452847804
478,50,1724.1666666666667,2013,629000,43000,6.8,0.04009689922480621
480,51,5328.416666666667,2013,8230000,805000,9.8,0.006619151138716356
482,53,9653.0,2013,6877000,836000,12.2,0.011546650717703348
484,54,1100.4166666666667,2013,1805000,358000,19.8,0.0030737895716946
486,55,2761.1666666666665,2013,5615000,756000,13.5,0.003652336860670194
488,56,107.41666666666667,2013,592000,68000,11.4,0.001579656862745098
490,02,825.1666666666666,2014,694000,82000,11.9,0.0100630081300813
491,04,5908.916666666667,2014,6657000,1409000,21.2,0.0041936952921693875
492,05,2108.1666666666665,2014,2891000,532000,18.4,0.003962719298245614
493,06,40039.166666666664,2014,38670000,6112000,15.8,0.00655091077661431
494,08,3594.5833333333335,2014,5376000,661000,12.3,0.0054380988401412
495,09,1712.8333333333333,2014,3577000,308000,8.6,0.005561147186147186
496,10,765.9166666666666,2014,929000,103000,11,0.0074360841423948216
497,12,28120.5,2014,19690000,3282000,16.7,0.008568098720292504
498,13,3857.8333333333335,2014,9948000,1676000,16.8,0.0023018098647573587
499,15,1315.0833333333333,2014,1365000,147000,10.8,0.008946145124716552
500,16,524.25,2014,1606000,199000,12.4,0.002634422110552764
501,17,307.75,2014,12770000,1756000,13.7,0.00017525626423690204
502,18,5206.5,2014,6470000,948000,14.6,0.005492088607594937
503,19,1257.8333333333333,2014,3078000,317000,10.3,0.003967928496319663
504,20,2848.9166666666665,2014,2851000,345000,12.1,0.008257729468599033
505,21,4212.25,2014,4299000,861000,20,0.004892276422764227
506,22,659.6666666666666,2014,4550000,1049000,23.1,0.0006288528757546869
507,23,1121.4166666666667,2014,1300000,190000,14.6,0.00590219298245614
508,24,6479.916666666667,2014,5934000,584000,9.8,0.011095747716894977
509,25,5752.666666666667,2014,6653000,902000,13.6,0.006377679231337768
510,26,15484.25,2014,9893000,1462000,14.8,0.010591142270861833
511,27,5202.833333333333,2014,5417000,447000,8.3,0.01163944817300522
512,28,1156.0833333333333,2014,2961000,654000,22.1,0.0017677115188583078
513,29,3070.0833333333335,2014,5950000,620000,10.4,0.004951747311827957
514,30,861.8333333333334,2014,1008000,121000,12,0.007122589531680441
515,31,2133.3333333333335,2014,1873000,221000,11.8,0.009653092006033183
516,32,5093.666666666667,2014,2819000,478000,17,0.010656206415620642
517,33,991.1666666666666,2014,1318000,95000,7.2,0.010433333333333333
518,34,3752.1666666666665,2014,8938000,1013000,11.3,0.0037040144784468575
519,35,2445.4166666666665,2014,2030000,406000,20,0.006023193760262726
520,36,20423.166666666668,2014,19660000,2755000,14,0.007413127646702965
521,37,1573.5,2014,9823000,1678000,17.1,0.0009377234803337306
522,38,425.6666666666667,2014,731000,71000,9.7,0.005995305164319249
523,39,11538.916666666666,2014,11510000,1792000,15.6,0.006439127604166667
524,40,1703.1666666666667,2014,3728000,647000,17.3,0.002632405976300876
525,41,4249.833333333333,2014,3955000,570000,14.4,0.007455847953216374
526,42,8280.916666666666,2014,12620000,1581000,12.5,0.005237771452667088
527,44,654.3333333333334,2014,1046000,119000,11.3,0.005498599439775911
528,45,4919.666666666667,2014,4764000,788000,16.5,0.006243231810490694
529,46,433.25,2014,846000,109000,12.8,0.003974770642201835
530,47,7518.583333333333,2014,6496000,1122000,17.3,0.006701054664289958
531,48,28847.666666666668,2014,26680000,4364000,16.4,0.006610372746715552
532,49,2465.0833333333335,2014,2928000,298000,10.2,0.008272091722595078
533,50,1705.1666666666667,2014,615000,57000,9.3,0.029915204678362575
534,51,5070.833333333333,2014,8257000,842000,10.2,0.00602236737925574
535,53,8847.083333333334,2014,7079000,852000,12,0.010383900625978092
536,54,1048.4166666666667,2014,1822000,376000,20.6,0.0027883421985815606
537,55,3016.9166666666665,2014,5742000,628000,10.9,0.004804007430997877
538,56,111.08333333333333,2014,572000,55000,9.7,0.0020196969696969695
539,02,706.8333333333334,2015,703000,65000,9.2,0.010874358974358974
540,04,5332.666666666667,2015,6728000,1156000,17.2,0.004613033448673588
541,05,1856.6666666666667,2015,2951000,475000,16.1,0.003908771929824561
542,06,36232.5,2015,39080000,5441000,13.9,0.006659161918764933
543,08,3201.3333333333335,2015,5420000,538000,9.9,0.005950433705080546
544,09,1620.0833333333333,2015,3572000,324000,9.1,0.005000257201646091
545,10,721.75,2015,958000,106000,11.1,0.006808962264150943
546,12,40974.083333333336,2015,20070000,3253000,16.2,0.012595783379444616
547,13,3502.1666666666665,2015,10100000,1833000,18.1,0.0019106201127477723
548,15,1138.4166666666667,2015,1382000,151000,10.9,0.007539183222958058
549,16,427.0833333333333,2015,1657000,204000,12.3,0.002093545751633987
550,17,118.25,2015,12680000,1380000,10.9,8.568840579710144e-05
551,18,4414.416666666667,2015,6502000,880000,13.5,0.005016382575757576
552,19,1139.5833333333333,2015,3100000,321000,10.4,0.0035501038421599167
553,20,2509.5833333333335,2015,2849000,404000,14.2,0.006211839933993399
554,21,3751.75,2015,4365000,851000,19.5,0.004408636897767332
555,22,605.3333333333334,2015,4599000,854000,18.6,0.0007088212334113974
556,23,961.25,2015,1340000,165000,12.3,0.005825757575757576
557,24,6042.333333333333,2015,5892000,566000,9.6,0.01067550058892815
558,25,5844.333333333333,2015,6777000,782000,11.5,0.007473572037510656
559,26,13165.666666666666,2015,9852000,1259000,12.8,0.01045724119671697
560,27,4977.0,2015,5458000,428000,7.8,0.011628504672897196
561,28,1039.75,2015,2947000,563000,19.1,0.0018468028419182949
562,29,2613.4166666666665,2015,5946000,582000,9.8,0.004490406643757159
563,30,841.0833333333334,2015,1018000,121000,11.9,0.006951101928374656
564,31,1771.9166666666667,2015,1858000,192000,10.3,0.00922873263888889
565,32,5095.666666666667,2015,2864000,371000,13,0.013734950584007189
566,33,1376.9166666666667,2015,1293000,94000,7.3,0.014648049645390071
567,34,3513.75,2015,8936000,1004000,11.2,0.0034997509960159362
568,35,3817.3333333333335,2015,2036000,400000,19.7,0.009543333333333334
569,36,17368.416666666668,2015,19650000,2791000,14.2,0.006223008479636929
570,37,2297.0833333333335,2015,9887000,1509000,15.3,0.0015222553567483985
571,38,434.9166666666667,2015,763000,82000,10.7,0.005303861788617886
572,39,11095.0,2015,11440000,1550000,13.6,0.007158064516129032
573,40,1668.8333333333333,2015,3887000,551000,14.2,0.003028735632183908
574,41,4192.833333333333,2015,4029000,478000,11.9,0.008771617852161784
575,42,7450.25,2015,12560000,1542000,12.3,0.004831549935149157
576,44,577.8333333333334,2015,1044000,123000,11.8,0.004697831978319783
577,45,4709.166666666667,2015,4790000,683000,14.3,0.006894826744753539
578,46,416.75,2015,848000,118000,13.9,0.003531779661016949
579,47,6374.083333333333,2015,6605000,973000,14.7,0.0065509592326139085
580,48,26494.583333333332,2015,27400000,4036000,14.7,0.00656456475057813
581,49,2012.4166666666667,2015,3004000,279000,9.3,0.0072129629629629636
582,50,1561.5,2015,609000,65000,10.7,0.024023076923076925
583,51,4925.833333333333,2015,8216000,894000,10.9,0.005509880686055182
584,53,7841.75,2015,7193000,819000,11.4,0.009574786324786325
585,54,870.5,2015,1795000,261000,14.5,0.003335249042145594
586,55,2585.0,2015,5736000,654000,11.4,0.003952599388379205
587,56,123.08333333333333,2015,574000,56000,9.8,0.0021979166666666666
588,02,682.5833333333334,2016,708000,89000,12.6,0.007669475655430712
589,04,4873.5,2016,6878000,1108000,16.1,0.004398465703971119
590,05,1661.9166666666667,2016,2941000,471000,16,0.0035284854918612883
591,06,32171.666666666668,2016,39140000,5435000,13.9,0.00591934989267096
592,08,3151.0,2016,5502000,467000,8.5,0.006747323340471092
593,09,1415.9166666666667,2016,3567000,351000,9.8,0.004033950617283951
594,10,670.3333333333334,2016,947000,110000,11.6,0.006093939393939395
595,12,43954.166666666664,2016,20520000,2659000,13,0.01653033721950608
596,13,3930.0,2016,10270000,1580000,15.4,0.0024873417721518985
597,15,988.8333333333334,2016,1392000,129000,9.3,0.007665374677002584
598,16,403.0,2016,1679000,187000,11.1,0.0021550802139037434
599,17,167.66666666666666,2016,12580000,1517000,12.1,0.0001105251593056471
600,18,4318.25,2016,6493000,768000,11.8,0.005622721354166666
601,19,1078.5833333333333,2016,3099000,302000,9.8,0.0035714679911699777
602,20,2322.6666666666665,2016,2859000,321000,11.2,0.007235721703011422
603,21,2342.1666666666665,2016,4383000,667000,15.2,0.003511494252873563
604,22,584.8333333333334,2016,4573000,923000,20.2,0.0006336222462983026
605,23,884.3333333333334,2016,1317000,167000,12.7,0.0052954091816367265
606,24,5600.5,2016,5930000,424000,7.1,0.01320872641509434
607,25,5238.666666666667,2016,6775000,649000,9.6,0.00807190549563431
608,26,11621.916666666666,2016,9875000,1091000,11.1,0.010652535899786129
609,27,4760.5,2016,5430000,470000,8.7,0.01012872340425532
610,28,938.9166666666666,2016,2943000,622000,21.1,0.0015095123258306537
611,29,2277.4166666666665,2016,5878000,762000,13,0.0029887357830271216
612,30,936.3333333333334,2016,1031000,121000,11.7,0.007738292011019284
613,31,1663.5,2016,1870000,179000,9.6,0.009293296089385474
614,32,4379.25,2016,2941000,298000,10.1,0.014695469798657717
615,33,704.3333333333334,2016,1316000,84000,6.4,0.008384920634920636
616,34,3139.5,2016,8836000,828000,9.4,0.0037916666666666667
617,35,4673.916666666667,2016,2043000,364000,17.8,0.012840430402930404
618,36,16140.75,2016,19460000,2314000,11.9,0.006975259291270527
619,37,2834.5833333333335,2016,10060000,1363000,13.6,0.0020796649547566645
620,38,449.0,2016,749000,83000,11.1,0.005409638554216867
621,39,10962.083333333334,2016,11440000,1573000,13.7,0.006968902309811401
622,40,1375.8333333333333,2016,3911000,571000,14.6,0.002409515469935785
623,41,3343.5,2016,4124000,486000,11.8,0.00687962962962963
624,42,7159.5,2016,12530000,1396000,11.1,0.0051285816618911175
625,44,524.5,2016,1052000,119000,11.4,0.004407563025210084
626,45,4373.583333333333,2016,4898000,690000,14.1,0.006338526570048309
627,46,407.4166666666667,2016,855000,124000,14.5,0.0032856182795698925
628,47,5344.583333333333,2016,6652000,988000,14.9,0.0054094973009446694
629,48,26189.75,2016,27660000,3812000,13.8,0.006870343651626443
630,49,1862.1666666666667,2016,3077000,264000,8.6,0.007053661616161617
631,50,1484.3333333333333,2016,622000,60000,9.6,0.024738888888888887
632,51,4716.833333333333,2016,8163000,929000,11.4,0.005077323286688195
633,53,7515.083333333333,2016,7289000,800000,11,0.009393854166666667
634,54,867.5833333333334,2016,1808000,326000,18,0.0026612985685071575
635,55,2215.0,2016,5764000,620000,10.7,0.0035725806451612904
636,56,176.83333333333334,2016,571000,62000,10.9,0.0028521505376344087
637,02,713.75,2017,719000,87000,12.1,0.008204022988505748
639,04,4355.333333333333,2017,6981000,951000,13.6,0.004579740623904661
641,05,1519.6666666666667,2017,2921000,436000,14.9,0.003485474006116208
643,06,29855.5,2017,39250000,4759000,12.1,0.006273481823912587
645,08,3165.5,2017,5527000,489000,8.9,0.006473415132924335
647,09,1426.9166666666667,2017,3553000,377000,10.6,0.003784924845269673
649,10,687.8333333333334,2017,967000,85000,8.8,0.008092156862745099
651,12,42040.25,2017,20910000,2809000,13.4,0.01496626913492346
653,13,3496.75,2017,10230000,1339000,13.1,0.002611463778939507
655,15,911.3333333333334,2017,1402000,149000,10.6,0.006116331096196868
657,16,397.1666666666667,2017,1730000,199000,11.5,0.001995812395309883
659,17,105.58333333333333,2017,12600000,1454000,11.5,7.261577258138469e-05
661,18,3917.4166666666665,2017,6532000,762000,11.7,0.00514096675415573
663,19,944.4166666666666,2017,3053000,230000,7.5,0.004106159420289855
665,20,1913.75,2017,2868000,411000,14.3,0.004656326034063261
667,21,1719.9166666666667,2017,4395000,591000,13.5,0.0029101804850535816
669,22,627.1666666666666,2017,4535000,931000,20.5,0.0006736484067311134
671,23,843.8333333333334,2017,1315000,163000,12.4,0.005176891615541922
673,24,5278.333333333333,2017,5977000,451000,7.6,0.011703621581670362
675,25,4929.583333333333,2017,6784000,763000,11.2,0.006460790738313673
677,26,10701.5,2017,9895000,1135000,11.5,0.00942863436123348
679,27,4584.25,2017,5619000,479000,8.5,0.009570459290187891
681,28,1204.4166666666667,2017,2948000,544000,18.5,0.002214001225490196
683,29,2443.0,2017,5988000,683000,11.4,0.003576866764275256
685,30,1016.0833333333334,2017,1041000,107000,10.3,0.009496105919003116
687,31,1467.6666666666667,2017,1878000,216000,11.5,0.006794753086419753
689,32,4188.916666666667,2017,2979000,392000,13.2,0.010686011904761905
691,33,681.8333333333334,2017,1333000,95000,7.2,0.0071771929824561405
693,34,2682.9166666666665,2017,9015000,894000,9.9,0.0030010253542132733
695,35,5087.666666666667,2017,2035000,402000,19.7,0.012655887230514097
697,36,15132.583333333334,2017,19740000,2510000,12.7,0.006028917662682603
699,37,2461.5833333333335,2017,10300000,1567000,15.2,0.001570889172516486
701,38,412.0,2017,740000,92000,12.4,0.004478260869565217
703,39,10017.166666666666,2017,11490000,1479000,12.9,0.0067729321613702945
705,40,1062.1666666666667,2017,3817000,490000,12.8,0.002167687074829932
707,41,3259.8333333333335,2017,4202000,482000,11.5,0.00676313969571231
709,42,7134.083333333333,2017,12570000,1373000,10.9,0.005195982034474387
711,44,729.25,2017,1046000,118000,11.3,0.006180084745762712
713,45,3895.3333333333335,2017,4955000,756000,15.2,0.005152557319223986
715,46,365.5,2017,870000,93000,10.7,0.00393010752688172
717,47,4584.666666666667,2017,6699000,759000,11.3,0.0060404040404040404
719,48,22700.0,2017,28090000,3715000,13.2,0.006110363391655451
721,49,1665.75,2017,3130000,272000,8.7,0.006124080882352941
723,50,1361.6666666666667,2017,613000,53000,8.6,0.02569182389937107
725,51,2671.5,2017,8242000,862000,10.5,0.003099187935034803
727,53,6691.666666666667,2017,7425000,810000,10.9,0.008261316872427983
729,54,803.4166666666666,2017,1793000,306000,17.1,0.002625544662309368
731,55,2044.8333333333333,2017,5809000,537000,9.2,0.00380788330229671
733,56,225.58333333333334,2017,560000,73000,13,0.0030901826484018265
735,02,690.0,2018,720000,94000,13.1,0.0073404255319148935
736,04,4035.5833333333335,2018,7241000,929000,12.8,0.004344007893792609
737,05,1380.8333333333333,2018,2912000,462000,15.9,0.0029888167388167387
738,06,28403.25,2018,39150000,4664000,11.9,0.0060898906518010295
739,08,3465.1666666666665,2018,5739000,521000,9.1,0.006650991682661548
740,09,1795.5,2018,3413000,348000,10.2,0.00515948275862069
741,10,621.6666666666666,2018,976000,72000,7.4,0.008634259259259258
742,12,42399.833333333336,2018,21120000,2883000,13.7,0.014706844721933173
743,13,3443.6666666666665,2018,10420000,1548000,14.8,0.002224590869939707
744,15,830.6666666666666,2018,1393000,128000,9.2,0.006489583333333333
745,16,450.25,2018,1766000,202000,11.5,0.0022289603960396038
746,17,275.6666666666667,2018,12590000,1292000,10.3,0.00021336429308565534
747,18,3889.0833333333335,2018,6582000,761000,11.6,0.005110490582566798
748,19,834.5,2018,3110000,277000,8.9,0.0030126353790613718
749,20,1386.3333333333333,2018,2835000,212000,7.5,0.006539308176100629
750,21,5288.583333333333,2018,4445000,696000,15.7,0.007598539272030651
751,22,638.75,2018,4510000,858000,19,0.0007444638694638695
752,23,788.25,2018,1321000,153000,11.6,0.005151960784313726
753,24,5025.25,2018,6030000,480000,8,0.010469270833333334
754,25,4709.5,2018,6883000,601000,8.7,0.007836106489184692
755,26,11128.75,2018,9913000,1036000,10.5,0.01074203667953668
756,27,4307.083333333333,2018,5746000,456000,7.9,0.009445358187134502
757,28,1446.8333333333333,2018,2899000,567000,19.6,0.002551734273956496
758,29,2622.3333333333335,2018,6026000,745000,12.4,0.003519910514541387
759,30,958.4166666666666,2018,1041000,107000,10.3,0.008957165109034267
760,31,1359.75,2018,1893000,199000,10.5,0.006832914572864322
761,32,3804.4166666666665,2018,3008000,390000,13,0.009754914529914529
762,33,683.0833333333334,2018,1349000,82000,6.1,0.008330284552845528
763,34,2335.3333333333335,2018,8790000,725000,8.2,0.0032211494252873565
764,35,5081.833333333333,2018,2054000,342000,16.6,0.014859161793372318
765,36,14721.5,2018,19340000,2145000,11.1,0.006863170163170163
766,37,2262.1666666666665,2018,10370000,1355000,13.1,0.0016694956949569494
767,38,391.0,2018,745000,72000,9.7,0.005430555555555556
768,39,8129.083333333333,2018,11450000,1365000,11.9,0.005955372405372405
769,40,956.75,2018,3858000,518000,13.4,0.001847007722007722
770,41,3047.6666666666665,2018,4172000,404000,9.7,0.007543729372937294
771,42,6986.916666666667,2018,12520000,1476000,11.8,0.004733683378500452
772,44,671.8333333333334,2018,1036000,92000,8.9,0.007302536231884058
773,45,3630.8333333333335,2018,5036000,642000,12.8,0.005655503634475597
774,46,382.4166666666667,2018,853000,90000,10.6,0.004249074074074074
775,47,4218.583333333333,2018,6665000,800000,12,0.0052732291666666665
776,48,20446.166666666668,2018,28500000,3894000,13.7,0.005250684814244137
777,49,1543.0833333333333,2018,3173000,219000,6.9,0.007046042617960426
778,50,1194.0,2018,616000,60000,9.7,0.0199
779,51,2987.1666666666665,2018,8393000,821000,9.8,0.003638449045879009
780,53,6217.666666666667,2018,7555000,647000,8.6,0.009609994848016487
781,54,659.9166666666666,2018,1762000,279000,15.9,0.0023652927120669056
782,55,1873.5833333333333,2018,5795000,499000,8.6,0.0037546760187040745
783,56,211.0,2018,565000,53000,9.5,0.003981132075471698
784,02,690.0,2019,701000,72000,10.2,0.009583333333333333
785,04,4035.5833333333335,2019,7285000,725000,9.9,0.00556632183908046
786,05,1380.8333333333333,2019,2915000,412000,14.1,0.0033515372168284787
787,06,28403.25,2019,39370000,3980000,10.1,0.0071364949748743715
788,08,3465.1666666666665,2019,5768000,535000,9.3,0.006476947040498442
789,09,1795.5,2019,3490000,291000,8.3,0.006170103092783505
790,10,621.6666666666666,2019,971000,63000,6.5,0.009867724867724867
791,12,42399.833333333336,2019,21400000,2455000,11.5,0.01727080787508486
792,13,3443.6666666666665,2019,10350000,1249000,12.1,0.0027571390445689883
793,15,830.6666666666666,2019,1365000,115000,8.4,0.007223188405797101
794,16,450.25,2019,1794000,127000,7.1,0.003545275590551181
795,17,275.6666666666667,2019,12500000,1160000,9.3,0.00023764367816091957
796,18,3889.0833333333335,2019,6691000,677000,10.1,0.005744583948793698
797,19,834.5,2019,3137000,298000,9.5,0.0028003355704697987
798,20,1386.3333333333333,2019,2813000,266000,9.5,0.005211779448621554
799,21,5288.583333333333,2019,4399000,599000,13.6,0.008829020589872009
800,22,638.75,2019,4563000,816000,17.9,0.000782781862745098
801,23,788.25,2019,1340000,140000,10.4,0.005630357142857143
802,24,5025.25,2019,6067000,424000,7,0.011852004716981132
803,25,4709.5,2019,6897000,521000,7.5,0.009039347408829175
804,26,11128.75,2019,9901000,1007000,10.2,0.011051390268123138
805,27,4307.083333333333,2019,5681000,322000,5.7,0.01337603519668737
806,28,1446.8333333333333,2019,2911000,560000,19.2,0.0025836309523809523
807,29,2622.3333333333335,2019,6063000,568000,9.4,0.004616784037558686
808,30,958.4166666666666,2019,1053000,102000,9.7,0.00939624183006536
809,31,1359.75,2019,1885000,165000,8.7,0.00824090909090909
810,32,3804.4166666666665,2019,3105000,323000,10.4,0.011778379772961816
811,33,683.0833333333334,2019,1351000,49000,3.7,0.01394047619047619
812,34,2335.3333333333335,2019,8738000,554000,6.3,0.0042154031287605295
813,35,5081.833333333333,2019,2058000,315000,15.3,0.01613280423280423
814,36,14721.5,2019,19070000,2382000,12.5,0.006180310663308144
815,37,2262.1666666666665,2019,10470000,1324000,12.7,0.0017085850956696878
816,38,391.0,2019,749000,61000,8.1,0.006409836065573771
817,39,8129.083333333333,2019,11510000,1424000,12.4,0.005708625936329588
818,40,956.75,2019,3899000,422000,10.8,0.00226718009478673
819,41,3047.6666666666665,2019,4135000,336000,8.1,0.009070436507936508
820,42,6986.916666666667,2019,12550000,1092000,8.7,0.006398275335775336
821,44,671.8333333333334,2019,1047000,96000,9.2,0.006998263888888889
822,45,3630.8333333333335,2019,5144000,775000,15.1,0.00468494623655914
823,46,382.4166666666667,2019,860000,91000,10.6,0.004202380952380952
824,47,4218.583333333333,2019,6721000,879000,13.1,0.004799298445202882
825,48,20446.166666666668,2019,28670000,3174000,11.1,0.006441766435622769
826,49,1543.0833333333333,2019,3232000,236000,7.3,0.006538488700564972
827,50,1194.0,2019,615000,53000,8.6,0.022528301886792453
828,51,2987.1666666666665,2019,8335000,737000,8.8,0.004053143374038897
829,53,6217.666666666667,2019,7549000,527000,7,0.011798228969006959
830,54,659.9166666666666,2019,1745000,242000,13.9,0.002726928374655647
831,55,1873.5833333333333,2019,5730000,479000,8.4,0.0039114474599860815
832,56,211.0,2019,565000,52000,9.2,0.004057692307692307
833,02,594.6666666666666,2020,708000,95000,13.4,0.006259649122807017
834,04,4276.5,2020,7203000,783000,10.9,0.005461685823754789
835,05,1756.3333333333333,2020,2974000,420000,14.1,0.004181746031746031
836,06,23105.75,2020,39200000,4332000,11.1,0.00533373730378578
837,08,3447.8333333333335,2020,5717000,546000,9.5,0.006314713064713065
838,09,1498.5,2020,3545000,396000,11.2,0.0037840909090909093
839,10,443.4166666666667,2020,991000,104000,10.5,0.004263621794871795
840,12,24696.166666666668,2020,21510000,2854000,13.3,0.008653176827843962
841,13,2265.0833333333335,2020,10560000,1399000,13.3,0.0016190731474862998
842,15,1023.5,2020,1427000,155000,10.9,0.006603225806451613
843,16,415.4166666666667,2020,1862000,170000,9.1,0.0024436274509803922
844,17,286.9166666666667,2020,12640000,1010000,8,0.0002840759075907591
845,18,4626.166666666667,2020,6685000,807000,12.1,0.005732548533663776
846,19,612.75,2020,3163000,290000,9.2,0.0021129310344827584
847,20,1276.6666666666667,2020,2891000,267000,9.3,0.004781523096129838
848,21,1270.4166666666667,2020,4454000,621000,13.9,0.002045759527643586
849,22,998.0,2020,4545000,704000,15.5,0.0014176136363636363
850,23,993.5,2020,1366000,109000,8,0.009114678899082568
851,24,4973.666666666667,2020,6077000,569000,9.4,0.008741066198008202
852,25,4827.5,2020,6943000,586000,8.4,0.008238054607508533
853,26,15706.083333333334,2020,9891000,1112000,11.2,0.014124175659472422
854,27,3238.9166666666665,2020,5602000,476000,8.5,0.006804446778711485
855,28,1296.6666666666667,2020,2937000,516000,17.6,0.002512919896640827
856,29,2734.0833333333335,2020,6044000,647000,10.7,0.004225785677485832
857,30,785.5833333333334,2020,1080000,118000,10.9,0.006657485875706215
858,31,1029.75,2020,1953000,162000,8.3,0.006356481481481481
859,32,5216.0,2020,3123000,404000,12.9,0.01291089108910891
860,33,602.25,2020,1387000,87000,6.2,0.006922413793103448
861,34,1584.0,2020,9119000,744000,8.2,0.0021290322580645163
862,35,5486.75,2020,2064000,343000,16.6,0.015996355685131195
863,36,11805.0,2020,19580000,2313000,11.8,0.005103761348897536
864,37,1292.25,2020,10410000,1441000,13.8,0.0008967730742539902
865,38,374.4166666666667,2020,761000,81000,10.7,0.004622427983539095
866,39,8599.0,2020,11700000,1487000,12.7,0.0057827841291190315
867,40,1766.9166666666667,2020,3885000,604000,15.5,0.002925358719646799
868,41,2524.9166666666665,2020,4114000,387000,9.4,0.00652433247200689
869,42,5313.083333333333,2020,12690000,1352000,10.7,0.003929795364891519
870,44,559.8333333333334,2020,1086000,93000,8.5,0.0060197132616487455
871,45,3344.5,2020,5110000,684000,13.4,0.004889619883040936
872,46,288.5,2020,878000,102000,11.6,0.0028284313725490196
873,47,3775.4166666666665,2020,6934000,912000,13.1,0.0041397112573099415
874,48,24824.416666666668,2020,28920000,4057000,14,0.006118909703393312
875,49,1491.9166666666667,2020,3272000,242000,7.4,0.006164944903581267
876,50,1007.25,2020,639000,55000,8.6,0.018313636363636365
877,51,3011.0833333333335,2020,8501000,663000,7.8,0.004541603821015586
878,53,7124.75,2020,7585000,625000,8.2,0.0113996
879,54,475.9166666666667,2020,1760000,249000,14.2,0.0019113119143239626
880,55,1416.0833333333333,2020,5836000,466000,8,0.003038805436337625
881,56,180.58333333333334,2020,561000,55000,9.7,0.0032833333333333334
882,02,535.75,2021,712000,81000,11.4,0.006614197530864198
883,04,3068.0,2021,7303000,922000,12.6,0.0033275488069414317
884,05,1730.9166666666667,2021,2981000,502000,16.8,0.0034480411686586988
885,06,20427.083333333332,2021,38770000,4615000,11.9,0.0044262369086312744
886,08,3268.0,2021,5724000,455000,7.9,0.007182417582417582
887,09,1521.6666666666667,2021,3553000,285000,8,0.005339181286549708
888,10,517.0833333333334,2021,996000,117000,11.7,0.00441951566951567
889,12,22556.333333333332,2021,21650000,2721000,12.6,0.008289721915962268
890,13,3155.9166666666665,2021,10670000,1490000,14,0.0021180648769574943
891,15,864.3333333333334,2021,1427000,156000,10.9,0.005540598290598291
892,16,291.3333333333333,2021,1905000,177000,9.3,0.001645951035781544
893,17,293.5833333333333,2021,12460000,1339000,10.7,0.0002192556634304207
894,18,4913.333333333333,2021,6778000,704000,10.4,0.0069791666666666665
895,19,472.0833333333333,2021,3182000,309000,9.7,0.0015277777777777776
896,20,1055.5,2021,2891000,206000,7.1,0.00512378640776699
897,21,1450.5,2021,4459000,725000,16.2,0.0020006896551724137
898,22,1600.4166666666667,2021,4519000,830000,18.4,0.0019282128514056225
899,23,792.0,2021,1354000,123000,9.1,0.006439024390243902
900,24,4656.75,2021,6095000,469000,7.7,0.00992910447761194
901,25,4806.333333333333,2021,6841000,522000,7.6,0.009207535121328225
902,26,12150.25,2021,9842000,1147000,11.7,0.01059306887532694
903,27,3578.1666666666665,2021,5532000,382000,6.9,0.009366928446771379
904,28,1392.5833333333333,2021,2913000,506000,17.4,0.0027521409749670617
905,29,2518.8333333333335,2021,6046000,742000,12.3,0.003394654088050315
906,30,683.4166666666666,2021,1114000,120000,10.7,0.0056951388888888885
907,31,1001.0,2021,1970000,159000,8.1,0.00629559748427673
908,32,5359.083333333333,2021,3089000,397000,12.8,0.013498950461796808
909,33,590.75,2021,1390000,96000,6.9,0.006153645833333333
910,34,1049.0,2021,9220000,698000,7.6,0.001502865329512894
911,35,4352.916666666667,2021,2097000,377000,18,0.011546198054818746
912,36,11328.833333333334,2021,19350000,2428000,12.5,0.004665911587040088
913,37,1026.4166666666667,2021,10600000,1249000,11.8,0.0008217907659460903
914,38,384.8333333333333,2021,760000,65000,8.5,0.00592051282051282
915,39,6856.75,2021,11740000,1364000,11.6,0.005026942815249267
916,40,1660.0833333333333,2021,3904000,589000,15.1,0.002818477645727221
917,41,17297.583333333332,2021,4220000,389000,9.2,0.044466795201371034
918,42,4280.666666666667,2021,12640000,1362000,10.8,0.0031429270680372002
919,44,436.5833333333333,2021,1087000,102000,9.4,0.0042802287581699345
920,45,3231.8333333333335,2021,5214000,713000,13.7,0.004532725572697523
921,46,265.6666666666667,2021,884000,74000,8.4,0.0035900900900900905
