,STATEFIPS,Monthly TANF Applications,YEAR,Total population,Number in poverty,Percent in poverty,TANF apps / Ind in poverty
86,44,690.0,2006,1054000,110000,10.5,0.006272727272727273
87,45,3686.0,2006,4224000,474000,11.2,0.007776371308016877
88,46,503.0,2006,770000,82000,10.7,0.006134146341463415
89,47,18208.0,2006,5916000,879000,14.9,0.020714448236632536
90,48,27804.0,2006,23210000,3816000,16.4,0.007286163522012579
91,49,1925.0,2006,2536000,235000,9.3,0.008191489361702128
92,50,1041.0,2006,618000,48000,7.8,0.0216875
93,51,4481.0,2006,7532000,651000,8.6,0.006883256528417819
94,53,9725.0,2006,6310000,502000,8,0.01937250996015936
95,54,1438.0,2006,1810000,277000,15.3,0.005191335740072202
96,55,2582.0,2006,5471000,555000,10.1,0.004652252252252252
97,56,89.0,2006,516000,51000,10,0.0017450980392156863
98,02,777.0,2007,675000,51000,7.6,0.015235294117647059
99,04,8731.0,2007,6365000,912000,14.3,0.009573464912280701
100,05,2525.0,2007,2803000,387000,13.8,0.006524547803617571
101,06,35572.0,2007,36250000,4589000,12.7,0.007751579864894312
102,08,2273.0,2007,4872000,478000,9.8,0.004755230125523012
103,09,1722.0,2007,3471000,309000,8.9,0.005572815533980583
104,10,891.0,2007,861000,80000,9.3,0.0111375
105,12,23499.0,2007,18040000,2250000,12.5,0.010444
106,13,7916.0,2007,9486000,1294000,13.6,0.006117465224111283
107,15,898.0,2007,1264000,94000,7.5,0.009553191489361701
108,16,962.0,2007,1501000,149000,9.9,0.0064563758389261745
109,17,1197.0,2007,12680000,1262000,10,0.0009484944532488115
110,18,11606.0,2007,6258000,740000,11.8,0.015683783783783784
111,19,1143.0,2007,2965000,264000,8.9,0.004329545454545455
112,20,3230.0,2007,2720000,319000,11.7,0.01012539184952978
113,21,4210.0,2007,4202000,653000,15.5,0.006447166921898928
114,22,1130.0,2007,4186000,673000,16.1,0.0016790490341753344
115,23,9797.0,2007,1312000,142000,10.9,0.06899295774647887
116,24,4514.0,2007,5560000,491000,8.8,0.009193482688391038
117,25,3887.0,2007,6336000,707000,11.2,0.005497878359264498
118,26,12833.0,2007,9919000,1076000,10.8,0.011926579925650558
119,27,5436.0,2007,5188000,482000,9.3,0.011278008298755186
120,28,2048.0,2007,2895000,655000,22.6,0.0031267175572519085
121,29,4430.0,2007,5783000,742000,12.8,0.0059703504043126686
122,30,824.0,2007,938000,122000,13,0.006754098360655738
123,31,1034.0,2007,1751000,174000,9.9,0.0059425287356321835
124,32,3209.0,2007,2566000,250000,9.7,0.012836
125,33,1194.0,2007,1312000,76000,5.8,0.015710526315789473
126,34,3815.0,2007,8548000,742000,8.7,0.005141509433962264
127,35,3220.0,2007,1941000,271000,14,0.011881918819188191
128,36,17081.0,2007,19020000,2757000,14.5,0.00619550235763511
129,37,3855.0,2007,9170000,1423000,15.5,0.0027090653548840476
130,38,401.0,2007,614000,57000,9.3,0.007035087719298246
131,39,17288.0,2007,11280000,1446000,12.8,0.011955739972337483
132,40,2662.0,2007,3551000,476000,13.4,0.0055924369747899156
133,41,2990.0,2007,3761000,481000,12.8,0.006216216216216216
134,42,14970.0,2007,12300000,1273000,10.4,0.011759622937941869
135,44,738.0,2007,1042000,99000,9.5,0.007454545454545454
136,45,3768.0,2007,4380000,617000,14.1,0.006106969205834684
137,46,492.0,2007,787000,74000,9.4,0.006648648648648649
138,47,17136.0,2007,6137000,906000,14.8,0.018913907284768213
139,48,27456.0,2007,23650000,3903000,16.5,0.007034588777863182
140,49,1910.0,2007,2651000,255000,9.6,0.007490196078431373
141,50,1057.0,2007,613000,61000,9.9,0.017327868852459016
142,51,4106.0,2007,7678000,664000,8.6,0.006183734939759036
143,53,9576.0,2007,6503000,661000,10.2,0.01448714069591528
144,54,1545.0,2007,1793000,265000,14.8,0.005830188679245283
145,55,2150.0,2007,5458000,601000,11,0.003577371048252912
146,56,85.0,2007,518000,56000,10.9,0.0015178571428571428
147,02,763.0,2008,672000,55000,8.2,0.013872727272727273
148,04,5163.0,2008,6529000,1172000,18,0.004405290102389078
149,05,2533.0,2008,2822000,431000,15.3,0.005877030162412993
150,06,40273.0,2008,36640000,5344000,14.6,0.007536115269461078
151,08,2274.0,2008,4908000,541000,11,0.0042033271719038815
152,09,2327.0,2008,3433000,276000,8.1,0.008431159420289856
153,10,730.0,2008,861000,82000,9.6,0.008902439024390243
154,12,28194.0,2008,18020000,2370000,13.1,0.01189620253164557
155,13,7582.0,2008,9541000,1477000,15.5,0.005133378469871361
156,15,763.0,2008,1255000,125000,9.9,0.006104
157,16,921.0,2008,1515000,185000,12.2,0.004978378378378378
158,17,1768.0,2008,12690000,1564000,12.3,0.0011304347826086956
159,18,10788.0,2008,6288000,901000,14.3,0.011973362930077691
160,19,1087.0,2008,2986000,285000,9.5,0.0038140350877192983
161,20,3416.0,2008,2716000,346000,12.7,0.009872832369942196
162,21,4116.0,2008,4246000,724000,17.1,0.005685082872928177
163,22,1040.0,2008,4326000,788000,18.2,0.0013197969543147208
164,23,9758.0,2008,1317000,158000,12,0.061759493670886075
165,24,4545.0,2008,5528000,481000,8.7,0.009449064449064449
166,25,3896.0,2008,6420000,727000,11.3,0.005359009628610729
167,26,12749.0,2008,9806000,1273000,13,0.010014925373134328
168,27,5423.0,2008,5120000,506000,9.9,0.010717391304347826
169,28,2210.0,2008,2900000,525000,18.1,0.00420952380952381
170,29,4766.0,2008,5861000,780000,13.3,0.00611025641025641
171,30,770.0,2008,973000,125000,12.9,0.00616
172,31,1359.0,2008,1774000,188000,10.6,0.007228723404255319
173,32,2950.0,2008,2581000,278000,10.8,0.010611510791366907
174,33,1185.0,2008,1300000,91000,7,0.013021978021978022
175,34,3888.0,2008,8515000,787000,9.2,0.004940279542566709
176,35,3257.0,2008,1977000,381000,19.3,0.008548556430446195
177,36,18263.0,2008,19310000,2734000,14.2,0.006679956108266277
178,37,3842.0,2008,9234000,1285000,13.9,0.00298988326848249
179,38,391.0,2008,625000,74000,11.8,0.005283783783783784
180,39,17619.0,2008,11390000,1557000,13.7,0.011315992292870905
181,40,2165.0,2008,3550000,484000,13.6,0.004473140495867768
182,41,2676.0,2008,3806000,403000,10.6,0.006640198511166253
183,42,15525.0,2008,12180000,1335000,11,0.011629213483146068
184,44,767.0,2008,1042000,132000,12.7,0.00581060606060606
185,45,4314.0,2008,4462000,624000,14,0.0069134615384615385
186,46,482.0,2008,794000,104000,13.1,0.004634615384615385
187,47,13759.0,2008,6163000,924000,15,0.01489069264069264
188,48,27100.0,2008,24170000,3834000,15.9,0.007068335941575378
189,49,2127.0,2008,2754000,209000,7.6,0.010177033492822967
190,50,1203.0,2008,610000,55000,9,0.021872727272727273
191,51,4181.0,2008,7735000,799000,10.3,0.00523279098873592
192,53,9473.0,2008,6526000,680000,10.4,0.013930882352941177
193,54,1244.0,2008,1796000,260000,14.5,0.0047846153846153846
194,55,1936.0,2008,5548000,544000,9.8,0.003558823529411765
195,56,93.0,2008,529000,54000,10.1,0.0017222222222222222
196,02,794.0,2009,688000,81000,11.7,0.00980246913580247
197,04,5344.0,2009,6508000,1381000,21.2,0.0038696596669080376
198,05,2750.0,2009,2846000,538000,18.9,0.005111524163568773
199,06,45937.0,2009,36740000,5638000,15.3,0.008147747428166017
200,08,2636.0,2009,4969000,613000,12.3,0.004300163132137031
201,09,2513.0,2009,3472000,292000,8.4,0.008606164383561644
202,10,851.0,2009,883000,109000,12.3,0.007807339449541284
203,12,39320.0,2009,18390000,2676000,14.6,0.01469357249626308
204,13,8072.0,2009,9657000,1775000,18.4,0.004547605633802817
205,15,1612.0,2009,1250000,156000,12.5,0.010333333333333333
206,16,855.0,2009,1524000,209000,13.7,0.004090909090909091
207,17,2342.0,2009,12760000,1690000,13.2,0.0013857988165680473
208,18,15113.0,2009,6342000,1023000,16.1,0.014773216031280548
209,19,1228.0,2009,2987000,319000,10.7,0.0038495297805642634
210,20,4013.0,2009,2737000,374000,13.7,0.010729946524064171
211,21,4267.0,2009,4276000,727000,17,0.005869325997248968
212,22,1054.0,2009,4450000,636000,14.3,0.0016572327044025157
213,23,10273.0,2009,1297000,148000,11.4,0.06941216216216216
214,24,5550.0,2009,5662000,543000,9.6,0.010220994475138122
